Date,Open,High,Low,Close,Volume,news_count,news_indices
2024-02-03 19:00:00,,,,,0,1,1029
2024-02-03 19:30:00,,,,,0,0,
2024-02-03 20:00:00,,,,,0,0,
2024-02-03 20:30:00,,,,,0,0,
2024-02-03 21:00:00,,,,,0,0,
2024-02-03 21:30:00,,,,,0,0,
2024-02-03 22:00:00,,,,,0,0,
2024-02-03 22:30:00,,,,,0,0,
2024-02-03 23:00:00,,,,,0,0,
2024-02-03 23:30:00,,,,,0,0,
2024-02-04 00:00:00,,,,,0,0,
2024-02-04 00:30:00,,,,,0,0,
2024-02-04 01:00:00,,,,,0,0,
2024-02-04 01:30:00,,,,,0,0,
2024-02-04 02:00:00,,,,,0,0,
2024-02-04 02:30:00,,,,,0,0,
2024-02-04 03:00:00,,,,,0,0,
2024-02-04 03:30:00,,,,,0,0,
2024-02-04 04:00:00,,,,,0,0,
2024-02-04 04:30:00,,,,,0,0,
2024-02-04 05:00:00,,,,,0,1,1028
2024-02-04 05:30:00,,,,,0,0,
2024-02-04 06:00:00,,,,,0,0,
2024-02-04 06:30:00,,,,,0,0,
2024-02-04 07:00:00,,,,,0,0,
2024-02-04 07:30:00,,,,,0,0,
2024-02-04 08:00:00,,,,,0,0,
2024-02-04 08:30:00,,,,,0,1,1027
2024-02-04 09:00:00,,,,,0,0,
2024-02-04 09:30:00,,,,,0,0,
2024-02-04 10:00:00,,,,,0,0,
2024-02-04 10:30:00,,,,,0,0,
2024-02-04 11:00:00,,,,,0,0,
2024-02-04 11:30:00,,,,,0,0,
2024-02-04 12:00:00,,,,,0,0,
2024-02-04 12:30:00,,,,,0,3,"1024,1025,1026"
2024-02-04 13:00:00,,,,,0,0,
2024-02-04 13:30:00,,,,,0,0,
2024-02-04 14:00:00,,,,,0,0,
2024-02-04 14:30:00,,,,,0,0,
2024-02-04 15:00:00,,,,,0,1,1023
2024-02-04 15:30:00,,,,,0,1,1022
2024-02-04 16:00:00,,,,,0,0,
2024-02-04 16:30:00,,,,,0,0,
2024-02-04 17:00:00,,,,,0,0,
2024-02-04 17:30:00,,,,,0,1,1021
2024-02-04 18:00:00,,,,,0,0,
2024-02-04 18:30:00,,,,,0,0,
2024-02-04 19:00:00,,,,,0,0,
2024-02-04 19:30:00,,,,,0,0,
2024-02-04 20:00:00,,,,,0,1,1020
2024-02-04 20:30:00,,,,,0,0,
2024-02-04 21:00:00,,,,,0,0,
2024-02-04 21:30:00,,,,,0,0,
2024-02-04 22:00:00,,,,,0,0,
2024-02-04 22:30:00,,,,,0,0,
2024-02-04 23:00:00,,,,,0,0,
2024-02-04 23:30:00,,,,,0,0,
2024-02-05 00:00:00,,,,,0,0,
2024-02-05 00:30:00,,,,,0,0,
2024-02-05 01:00:00,,,,,0,0,
2024-02-05 01:30:00,,,,,0,0,
2024-02-05 02:00:00,,,,,0,0,
2024-02-05 02:30:00,,,,,0,0,
2024-02-05 03:00:00,,,,,0,0,
2024-02-05 03:30:00,,,,,0,0,
2024-02-05 04:00:00,,,,,0,0,
2024-02-05 04:30:00,,,,,0,0,
2024-02-05 05:00:00,,,,,0,1,1019
2024-02-05 05:30:00,,,,,0,0,
2024-02-05 06:00:00,,,,,0,0,
2024-02-05 06:30:00,,,,,0,0,
2024-02-05 07:00:00,,,,,0,0,
2024-02-05 07:30:00,,,,,0,1,1018
2024-02-05 08:00:00,,,,,0,3,"1015,1016,1017"
2024-02-05 08:30:00,,,,,0,0,
2024-02-05 09:00:00,,,,,0,0,
2024-02-05 09:30:00,,,,,0,1,1014
2024-02-05 10:00:00,,,,,0,2,"1012,1013"
2024-02-05 10:30:00,,,,,0,0,
2024-02-05 11:00:00,,,,,0,4,"1008,1009,1010,1011"
2024-02-05 11:30:00,,,,,0,0,
2024-02-05 12:00:00,,,,,0,1,1007
2024-02-05 12:30:00,,,,,0,0,
2024-02-05 13:00:00,,,,,0,4,"1003,1004,1005,1006"
2024-02-05 13:30:00,,,,,0,0,
2024-02-05 14:00:00,,,,,0,3,"1000,1001,1002"
